x	y	velocity[m]
7.772720532913489	0.23461619498118402	5.679400335518854	-0.0017429105694105223
7.890627742962881	0.15905438545629735	5.604437338524176	-0.0011709246982947747
8.008781871089225	0.08387923282965559	5.52844392801814	-0.0005799440978038468
8.12705803090369	0.00889623053410915	5.451376167083137	4.438274911691679e-06
8.24533323933819	-0.06608827353499613	5.373186937884323	0.0005915119085386229
8.363484095501915	-0.14126856739103744	5.293825549244867	0.001171396838617226
8.481388473307671	-0.21683479970635489	5.213237361080773	0.0016444504829636896
8.598944692317154	-0.2929415399121318	5.131363347068983	0.0020124581802211886
8.716069983418809	-0.36970979605289855	5.048139549464252	0.002387640593347751
8.832679299973991	-0.4472595559469248	4.9634965312355765	0.002760202836121476
8.948685571327632	-0.525708555295493	4.8773586548987335	0.0031376160100314455
9.063998103240552	-0.6051737006781543	4.789643282599776	0.003497168190567191
9.178526140025484	-0.6857655668198568	4.700259879315446	0.0039226977563715975
9.292170013951516	-0.7675990455244825	4.60910873096216	0.00358599649433228
9.404994590336806	-0.8505588395785288	4.547869873683842	0.002343625076435241
9.51727275574724	-0.9342566061921964	4.453534584718784	0.0010075523637078248
9.62931410299814	-1.0182711248573924	4.357111679639773	-0.00030126549165847776
9.741426554955154	-1.102190763803275	4.258454918705536	-0.0016311619887844654
9.853920456262173	-1.1855982642729934	4.157400073532929	-0.0029121287738285468
9.967094130595576	-1.268081326085829	4.053761712410941	-0.004396058040466199
10.08125868325369	-1.3491868186994633	3.9473287937181523	-0.004841269685438537
10.196492644205648	-1.4287656879610857	3.8378603069551844	-0.003429002379905416
10.312485779411872	-1.5072342726495336	3.7250774344253856	-0.0015944308398079896
10.428827814879362	-1.5851844482822894	3.608655796353355	0.00016499087600374638
10.545134056047242	-1.6631880725489285	3.4882144250425413	0.0019354012733516794
10.661015780119186	-1.7418209479137712	3.363299774856636	0.0036942825839663958
10.776078206862	-1.8216478732360528	3.2333653808900573	0.005423149721016369
10.88991415128612	-1.90321421411174	3.0977423052349162	0.007179568630366272
11.002082202648008	-1.9870595496909207	2.955596646047427	0.009206175295805226
11.112050481880711	-2.0737697775717887	2.8058654960533667	0.011354744717183445
11.219204719467609	-2.1639343903780937	2.6471574489526937	0.013563191680972494
11.322856153362924	-2.258104686190139	2.477587142816607	0.015828810466216953
11.422231509406643	-2.3567768299620315	2.294485077410393	0.018118394239606588
11.51647438869739	-2.4603618942112213	2.144615914086466	0.020361206425867407
11.604662355457034	-2.569148870382202	2.0230546907108833	0.022484616223058466
11.685867816314428	-2.683241339954769	1.925159148031358	0.02320835356036859
11.759486129324046	-2.802371997047862	1.8949039932088376	0.023634036836469332
11.825054561602077	-2.9261156881052486	1.8777614676314205	0.02431526880223765
11.882042531887745	-3.0540379451513253	1.8512703242479103	0.025228044929962872
11.929848790259218	-3.185667429645692	1.8174713733164263	0.02636309519496514
11.967809973514314	-3.3204656844977	1.7779157533566872	0.027593775533055767
11.99523569452198	-3.4577964445956013	1.7378160879527231	0.0291687916743332
12.011415901419802	-3.5968993511372673	1.6902469370750917	0.029273984734413647
12.016173111918416	-3.7368600635355893	1.6872073395385758	0.028127507703233585
12.009884221245475	-3.8767610462647983	1.7212491976749773	0.027107391579758715
11.992992937210005	-4.01578056329063	1.7533374627142735	0.02635110754339397
11.965884594230943	-4.153173972151281	1.7783201122846306	0.025886517055330686
11.928886053719928	-4.288239914349681	1.794207080612618	0.02566511487427885
11.882263404092633	-4.4202934019252895	1.801929398038956	0.025979228153815825
11.82618570681149	-4.548616955283227	1.7910027594682059	0.025696838780034776
11.761097191591059	-4.672611519117767	1.8008167730046498	0.022855191782985857
11.68820444293944	-4.79218729068322	1.9094880377708356	0.019383341587363913
11.60893319827743	-4.907632725706796	2.0734570910801433	0.015841109908681515
11.52461636207093	-5.019446687243996	2.293594156024828	0.01233360801471035
11.436485021741298	-5.1282794226400075	2.5993472790779686	0.008928956058757325
11.345658448583382	-5.2348732535714	2.9764774918522154	0.005581643803442106
11.253171273601222	-5.34002943568503	3.3058240898251117	0.0024160628919335427
11.159879964038495	-5.4444730438937405	3.6023590638729437	0.0023674673177999372
11.065900044520617	-5.548297234972239	3.8744844495169217	0.003004798140670135
10.971048429529251	-5.651325740109065	3.877664823869033	0.0036552477263493022
10.875146930361144	-5.753377678842177	3.7661106514261693	0.00431855372959215
10.778017841057846	-5.85426193217981	3.65104063867944	0.004990849365301624
10.679487137945365	-5.953777726198211	3.5320955967792558	0.005693651381320718
10.579384074774449	-6.05171164266568	3.408850149796166	0.006341947256723195
10.477538869121084	-6.147832596438275	3.2807942456797523	0.007525363003264468
10.3736864672132	-6.2417812145212395	3.1473070594672357	0.00890746974031643
10.26752710075409	-6.333114885315658	3.0076202226615365	0.010182516362690248
10.158810018435602	-6.421388584056473	2.860762594881959	0.011346841076539469
10.047349151158059	-6.506171435898742	2.710016224099222	0.01232903410240414
9.933031442998967	-6.587061219331151	2.599829396490006	0.013190558967638146
9.815819747576612	-6.663697713593445	2.513493561582499	0.013568194070262201
9.695751224505717	-6.735776592199406	2.4782684814417917	0.014901471608295276
9.572733027690795	-6.802698401326851	2.345804445847524	0.0180204641327266
9.446484167614573	-6.863306245018399	2.150435350844271	0.02177043972547712
9.316758547941472	-6.9160647393615795	1.9564816384561412	0.026579577008969436
9.183452371628086	-6.958977975784913	1.7706606843974455	0.032753779584220176
9.046766918531661	-6.989449706889949	1.5950660296984562	0.04030451503147442
8.907516024565421	-7.004256952783104	1.4379127249633215	0.049720792298736216
8.767557235173657	-6.999721153018027	1.29461417155119	0.05686848697129847
8.629922937969381	-6.973961760210156	1.2105243787947453	0.04656227078079925
8.496807457125609	-6.930482075399849	1.337803417073731	0.03532051607969549
8.368654502193316	-6.874018444310389	1.5360164142224288	0.02496923343071991
8.244807053874991	-6.808646033125209	1.8268663326109673	0.016306916954420318
8.124110914989446	-6.737623297293852	2.260598563177559	0.00882077530044941
8.005240686761642	-6.663585630632352	2.6942423977575034	0.0023412998132917554
7.886833716754801	-6.588808836108632	2.94901446605704	-0.0048985004675424215
7.767721517041762	-6.515161823327208	2.79891101956612	-0.0015548238836657763
7.648330421404895	-6.441966792359472	2.639758485429554	0.00420500143118637
7.529812044927251	-6.367367080154176	2.4696424275686164	0.01023811988203104
7.413496899420501	-6.289376803678801	2.285848258747107	0.016865998385455463
7.301010212994161	-6.205960066516244	2.084279676818643	0.02413461935002512
7.194413437953262	-6.115140983775792	1.8581858567879275	0.0314054161109741
7.0962290910183	-6.015287574015324	1.6289475505497888	0.039273102967423784
7.009223811654724	-5.905558993523624	1.4566719883278156	0.039096929379956506
6.934492786089164	-5.787126340027621	1.459950234067695	0.03408305765422132
